class	rust_ref	go_symbol	status	note
writer-offcontract	(spec: no offline mutation API)		removed	removed slice 2c; Rust authority is CreateLive
writer-offcontract	(spec: all public writers live-bound)		removed	removed slice 2c; Rust authority is LiveWriter::open with the sidecar lease
writer-offcontract	(spec: no sidecar-free writer type)		removed	removed slice 2c; the public Writer type is gone; LiveWriter is the only writer owner
writer-offcontract	(spec: writer surface)		removed	removed slice 2c; owned by LiveWriter.Info
writer-offcontract	(spec: writer surface)		removed	removed slice 2c; owned by LiveWriter.Close
writer-offcontract	(spec: writer surface)		removed	removed slice 2c; owned by LiveWriter.Abort
writer-offcontract	LiveWriter::delete_feed		removed	removed slice 2c; owned by LiveWriter.DeleteFeed
writer-offcontract	LiveWriter::rename_feed		removed	removed slice 2c; owned by LiveWriter.RenameFeed
writer-offcontract	LiveWriter::begin_direct_transaction		removed	removed slice 2c; owned by LiveWriter.BeginDirect
writer-offcontract	LiveWriter::begin_direct_replacement		removed	removed slice 2c; owned by LiveWriter.BeginDirectReplacement
writer-offcontract	LiveWriter::begin_first_seen_refresh		removed	removed slice 2c; owned by LiveWriter.BeginFirstSeenRefresh
writer-offcontract	LiveWriter::begin_last_seen_refresh		removed	removed slice 2c; owned by LiveWriter.BeginLastSeenRefresh
writer-offcontract	LiveWriter::begin_create_feed		removed	removed slice 2c; owned by LiveWriter.BeginCreateFeed
writer-offcontract	LiveWriter::begin_replace_feed		removed	removed slice 2c; owned by LiveWriter.BeginReplaceFeed
writer-offcontract	LiveWriter::begin_membership_transaction		removed	removed slice 2c; owned by LiveWriter.BeginMembershipTransaction
writer-offcontract	LiveWriter::begin_structured_transaction		removed	removed slice 2c; owned by LiveWriter.BeginStructuredTransaction
writer-offcontract	LiveWriter::project_history		removed	removed slice 2c; owned by LiveWriter.ProjectHistory
writer-offcontract	LiveWriter::begin_membership_import	LiveWriter.BeginMembershipImport	present	Complete name-based import from a pinned membership reader (membership_import_public.go)
writer-offcontract	LiveWriter::reclaim		removed	removed slice 2c; owned by LiveWriter.Reclaim (present row in class live-writer)
immutable-output	immutable_feed.rs create_immutable_feed_v4	CreateImmutableFeedV4	present	immutable_feed_public.go; one-inode unordered feed construction through RangeSource4
immutable-output	immutable_feed.rs create_immutable_feed_v6	CreateImmutableFeedV6	present	immutable_feed_public.go; one-inode unordered feed construction through RangeSource6
live-writer	commit_resolution.rs resolve_commit	ResolveCommit	present	commit_resolution_public.go; two-meta classify with sync and sidecar proof; public CommitResolutionMode/CommitResolution/CommitResolutionResult/LocalFileRelation types
live-writer	live_lifecycle.rs CreateLive	CreateLive	present	lifecycle_public.go:160
live-writer	live_lifecycle.rs InitializeLive	InitializeLive	present	lifecycle_public.go:177
live-writer	live_writer.rs LiveWriter::open	OpenLiveWriter	present	live_writer_public.go:34
live-writer	LiveWriter::info	LiveWriter.Info	present	live_writer_public.go:45
live-writer	LiveWriter::close	LiveWriter.Close	present	live_writer_public.go:89
live-writer	LiveWriter::abort	LiveWriter.Abort	present	live_writer_public.go; live machine abort with AbortResult mapping
live-writer	LiveWriter::begin_direct_transaction	LiveWriter.BeginDirect	present	live_writer_public.go:150; cancellation-bearing live begin
live-writer	LiveWriter::begin_direct_replacement	LiveWriter.BeginDirectReplacement	present	direct_workflow_public.go; sidecar-bound live begin
live-writer	LiveWriter::begin_membership_transaction	LiveWriter.BeginMembershipTransaction	present	membership_transaction_public.go; sidecar-bound live begin
live-writer	LiveWriter::begin_structured_transaction	LiveWriter.BeginStructuredTransaction	present	structured_transaction_public.go; sidecar-bound live begin
live-writer	LiveWriter::begin_create_feed	LiveWriter.BeginCreateFeed	present	feed_workflow_public.go; sidecar-bound live begin
live-writer	LiveWriter::begin_replace_feed	LiveWriter.BeginReplaceFeed	present	feed_workflow_public.go; sidecar-bound live begin
live-writer	LiveWriter::begin_first_seen_refresh	LiveWriter.BeginFirstSeenRefresh	present	direct_workflow_public.go; sidecar-bound live begin
live-writer	LiveWriter::begin_last_seen_refresh	LiveWriter.BeginLastSeenRefresh	present	direct_workflow_public.go; sidecar-bound live begin
live-writer	LiveWriter::project_history	LiveWriter.ProjectHistory	present	history_projection_public.go; sidecar-bound live projection
live-writer	LiveWriter::begin_membership_import	LiveWriter.BeginMembershipImport	present	Membership import implemented (SOW-0027 slice 2b)
live-writer	LiveWriter::delete_feed	LiveWriter.DeleteFeed	present	feed_workflow_public.go; sidecar-bound live lifecycle
live-writer	LiveWriter::rename_feed	LiveWriter.RenameFeed	present	feed_workflow_public.go; sidecar-bound live lifecycle
live-writer	LiveWriter::reclaim	LiveWriter.Reclaim	present	live_writer_public.go; bounded oldest-safe reclamation with auto-publish
live-writer	LiveWriter::metadata_json_len	LiveWriter.MetadataJSONLen	present	live_writer_public.go; staged-or-committed current-generation read
live-writer	LiveWriter::read_metadata_json	LiveWriter.ReadMetadataJSON	present	live_writer_public.go; caller-buffer fill with the buffer-too-small class
live-writer	LiveWriter::metadata_json	LiveWriter.MetadataJSON	present	live_writer_public.go; staged-or-committed current-generation read
live-direct	DirectTransaction::assign_v4	LiveDirectTransaction.AssignV4	present	name variant (live_writer_public.go:147)
live-direct	DirectTransaction::assign_v6	LiveDirectTransaction.AssignV6	present	name variant
live-direct	DirectTransaction::clear_range_v4	LiveDirectTransaction.ClearV4	present	name variant
live-direct	DirectTransaction::clear_range_v6	LiveDirectTransaction.ClearV6	present	name variant
